Title,Summary,Publishing Date
Fox News Poll: Biden holds lead over Trump as coronavirus concerns grip nation,"There’s a large gender gap, as Trump is ahead by 5 points among men, while Biden is up 19 among women.
CLICK HERE TO READ THE POLL RESULTSWhites with a college degree (+3) and without a degree go for Trump (+9).
Because the drop-off would just be 16 points among Trump supporters, that puts Biden’s lead at just 3 points over the president in that still-raging coronavirus scenario.
Democrats (82 percent) and independents (60 percent) like the idea, while Republicans split (43 favor, 47 oppose).
By a 62-32 percent margin, voters favor continuing the extra $600/week unemployment benefit Congress passed in response to the pandemic.",07/22/2020
Chicago's Lori Lightfoot tweets against Trump as bullets fly outside funeral home,"“Under no circumstances will I allow Donald Trump’s troops to come to Chicago and terrorize our residents,” Lightfoot wrote.
CHICAGO SHOOTOUT AT FUNERAL SENDS AT LEAST 14 TO HOSPITALS, POLICE SAY""We do not welcome dictatorship,"" the mayor added in a newspaper interview.
— Chicago Mayor Lori LightfootAfter news spread about the funeral home shootings, Lightfoot vowed those responsible would be held accountable.
""Too many guns are on our streets and in the hands of people who should never possess them,"" Lightfoot wrote.
Sources told the Chicago Sun-Times the funeral was for Donnie Weathersby, 31, who was gunned down last week about a mile and half northeast of the funeral parlor.",07/22/2020
"Chicago Mayor Lightfoot is 'running the Titanic into an iceberg intentionally,' police union chief says","Lightfoot had referred to Catanzara as ""unhinged"" and attention-seeking after the union leader wrote a letter to President Trump asking for federal assistance amid Chicago's continuing crime wave.
""The mayor likes to use the word 'unhinged' but the ironic part is the mayor became unhinged.
I wish I could show you the text messages that she sent me over the weekend as soon as she found out I sent the request to President Trump,"" Catanzara told Fox News host Laura Ingraham.
""She was the one who totally became unhinged, unprofessional, childish,"" he continued, ""and it was really pathetic for the leader of a city,"" Catanzara said.
""She is literally running the Titanic into an iceberg intentionally,"" he said.",07/22/2020
Chicago Mayor Lori Lightfoot's statements on federal agents in Portland 'devoid' of truth: acting CBP commissioner,"Chicago Mayor Lori Lightfoot's statements about federal law enforcement agents' presence in Portland are ""devoid of any fact or truth,"" acting U.S. Customs and Border Protection Commissioner Mark Morgan stated Wednesday.
""Again, our presence in Portland is to respond to violent criminals who are willfully, knowingly, with intent, attacking federal property and the federal law enforcement that's there to defend that property.
However, many warn Lightfoot has cause for concern when it comes to the presence of federal agents in the city.
But yes, right now there [are] hundreds if not a couple of thousand of federal agents already in Chicago,"" Morgan said.
Additional federal agents are going to go into Chicago and work together to stop this violence,"" he concluded.",07/22/2020
Chicago shooting among bloodiest in modern Chicago history: report,"The mass shooting on Tuesday outside a Chicago funeral home that injured 14 was reportedly among the bloodiest in the city’s modern history, a report said.
The Chicago Sun-Times reported that in 2013, there was a mass shooting that resulted in 13 injuries.
CBS Chicago, citing unnamed sources, reported that police assigned a squad car at the funeral service after being warned about possible violence.
Chicago has recently seen a dramatic rise in gun violence, which prompted President Trump to warn that he would deploy federal troops to the city.
The city has seen 414 homicides this year, compared with 275 during the same period last year.",07/22/2020
Chicago police warned about possibility of shooting: report,"Chicago police were reportedly warned that there could be a retaliatory strike at the funeral service that was the site of Tuesday’s mass shooting that injured at least 14.
CBS Chicago, citing unnamed sources, reported that police assigned a squad car at the funeral service for Donnie Weathersby.
The report said that Weathersby, 31, was killed on July 14 and the funeral at Rhodes Funeral Services was expected to draw a large crowd.
The Chicago Police Department did not immediately respond to a Fox News email seeking comment.
The Fox 32 report also reported that a squad car was assigned to monitor the funeral due to its size.",07/22/2020
What is behind the violent shootings in Chicago?,"And over Memorial Day weekend, Chicago endured its bloodiest day in over six decades — 18 people were killed and 45 wounded in a 24-hour period.
CHICAGO PASTOR REACTS TO WEEKEND VIOLENCE, DEATH OF 7-YEAR-OLD: 'WE HAVE TO TAKE BACK OUR CITIES'In a press conference late last month, Chicago Police Supt.
David Brown pointed fingers at the ""open-air drug markets"" as the ""pipeline to shootings and murders in Chicago,"" which had been exacerbated by coronavirus challenges in addition to ""low bonds for violent offenders.""
""Illicit drugs flow from Mexico to Chicago via a loosely associated network of profit-driven intermediaries, with Chicago street gangs serving as the primary distributors at the street level,"" the report stated.
""Collectively, Chicago street gangs serve as the primary mid-level, and retail-level distributors of drugs in the city and are responsible for a significant portion of the city's violent crime.""",07/22/2020
China threatens retaliation after US orders closure of Houston consulate,"China on Wednesday condemned what it called an “unprecedented escalation"" by the United States and threatened to retaliate after it was ordered to close the Chinese consulate in Houston.
Chinese foreign ministry spokesman Wang Wenbin said in a daily news briefing that the government had been told without warning Tuesday to close the consulate.
He said the consulate had been operating normally Tuesday and called the reported move an “unprecedented escalation,"" the South China Morning Post reported.
They couldn’t go inside.”""The US asked China to close Consulate General in Houston in 72 hours.
KPRC reported that the consulate was ordered to close by Friday along with a compound where many consulate employees live, citing police sources.",07/22/2020
Trump signs executive order to hold China accountable for actions against Hong Kong,"President Trump on Tuesday announced two actions his administration has taken against China as tensions between Washington and Beijing continue to rise.
During a press conference in the White House Rose Garden, Trump announced that he had signed into law the Hong Kong Autonomy Act and also put his signature on an executive order that ends the United States’ preferential treatment of Hong Kong.
""I signed legislation and an executive order to hold China accountable for its oppressive actions against the people of Hong Kong,” Trump said.
TRUMP ADMINISTRATION SANCTIONS CHINESE OFFICIALS OVER HUMAN RIGHT ABUSES AGAINST IYGHUR MUSLIMSThe Chinese law, implemented earlier this summer, says that those who destroy government facilities and utilities would be considered subversive.
Ties between China and the U.S. have deteriorated steadily over the coronavirus pandemic, human rights, Beijing policy toward Hong Kong and trade.",07/22/2020
"Trump administration adds 11 companies to sanctions list over Uighur oppression, including suppliers for US firms","The Trump administration on Monday slapped sanctions on 11 Chinese firms over their use of forced labor and other forms of repression against the Uighur Muslims, an ethnic minority in China, including some with documented relationships with American companies.
According to the Commerce Department, these activities are not just limited to forced labor, but also include DNA collection.
John Cheh, CEO of Esquel Group, said in a response to Ross that his company has been “falsely associated with forced labor,” writing: “Let me be clear: Esquel does not use forced labor, and we never will use forced labor.
CHINA USES MUSLIM URGHUR FORCED LABOR tO MASS PRODUCE CORONAVIRUS PPE EXPORTED GLOBALLY: REPORTSome attacks have been more general.
The attacks on China are not new, but come after the Trump administration for years sent mixed messages on China.",07/22/2020
NYC mayor shown holding severed head of Lady Liberty in mocking banner,"The banner showed the Democrat wearing a T-shirt of the late Marxist revolutionary Che Guevara and holding the severed head of Lady Liberty.
Malliotakis previously was the Republican nominee who ran against de Blasio for mayor of the Big Apple in 2017.
“I don't believe New York City is going to survive the remainder of Mayor de Blasio’s term in office,"" Zeldin told Fox News earlier this month.
Other Democratic mayors facing similar criticism include Chicago Mayor Lori Lightfoot, Seattle Mayor Jenny Durkan and Portland, Ore., Mayor Ted Wheeler.
Silver, whose district covered lower Manhattan in New York City, was arrested Jan. 22, 2015, just three weeks after being elected Assembly speaker for the eleventh time.",07/22/2020
"As city violence surges, liberal mayors engage in social media feuds with Trump officials","As violence and unrest surge in major cities across the U.S., liberal mayors are taking a combative stance toward the Trump administration and offers of federal help -- engaging in sometimes-feisty social media feuds with officials.
I'm going to lead this city the best I can.”Meanwhile, in New York City, violence has skyrocketed.
Days later, when someone poured paint on the mural, de Blasio was immediately on the case.
Meanwhile, in Portland, Democratic Mayor Ted Wheeler has been dealing with violence and rioting that has plagued the city for weeks.
""I explain it very simply by saying they’re Democrat-run cities, they are liberally run,"" Trump said.",07/22/2020
